date,avg
2024-10-29 22:12:00+10:00,59.0
2024-10-29 22:12:00+10:00,59.0
2024-10-29 22:16:00+10:00,63.0
2024-10-29 22:16:00+10:00,63.0
2024-10-29 22:21:00+10:00,63.0
2024-10-29 22:21:00+10:00,63.0
2024-10-29 22:26:00+10:00,61.99999999999999
2024-10-29 22:26:00+10:00,61.99999999999999
2024-10-29 22:28:00+10:00,60.0
2024-10-29 22:28:00+10:00,60.0
2024-10-29 22:30:00+10:00,60.0
2024-10-29 22:30:00+10:00,60.0
2024-10-29 22:35:00+10:00,60.0
2024-10-29 22:35:00+10:00,60.0
2024-10-29 22:43:00+10:00,62.00000000000001
2024-10-29 22:43:00+10:00,62.00000000000001
2024-10-29 22:49:00+10:00,63.0
2024-10-29 22:49:00+10:00,63.0
2024-10-29 22:51:00+10:00,66.0
2024-10-29 22:51:00+10:00,66.0
2024-10-29 22:55:00+10:00,67.0
2024-10-29 22:55:00+10:00,67.0
2024-10-29 22:56:00+10:00,71.0
2024-10-29 22:56:00+10:00,71.0
2024-10-29 23:00:00+10:00,68.0
2024-10-29 23:00:00+10:00,68.0
2024-10-29 23:05:00+10:00,72.0
2024-10-29 23:05:00+10:00,72.0
2024-10-29 23:10:00+10:00,79.0
2024-10-29 23:10:00+10:00,79.0
2024-10-29 23:18:00+10:00,72.0
2024-10-29 23:18:00+10:00,72.0
2024-10-29 23:22:00+10:00,79.0
2024-10-29 23:22:00+10:00,79.0
2024-10-29 23:25:00+10:00,76.0
2024-10-29 23:25:00+10:00,76.0
2024-10-29 23:27:00+10:00,69.0
2024-10-29 23:27:00+10:00,69.0
2024-10-29 23:31:00+10:00,68.0
2024-10-29 23:31:00+10:00,68.0
2024-10-29 23:35:00+10:00,66.21392059326172
2024-10-29 23:35:00+10:00,66.21392059326172
2024-10-29 23:37:00+10:00,64.0
2024-10-29 23:37:00+10:00,64.0
2024-10-29 23:41:00+10:00,63.0
2024-10-29 23:41:00+10:00,63.0
2024-10-29 23:45:00+10:00,60.0
2024-10-29 23:45:00+10:00,60.0
2024-10-29 23:50:00+10:00,56.0
2024-10-29 23:50:00+10:00,56.0
2024-10-29 23:57:00+10:00,57.0
2024-10-29 23:57:00+10:00,57.0
2024-10-30 00:02:00+10:00,56.0
2024-10-30 00:02:00+10:00,56.0
2024-10-30 00:05:00+10:00,57.0
2024-10-30 00:05:00+10:00,57.0
2024-10-30 00:13:00+10:00,55.0
2024-10-30 00:13:00+10:00,55.0
2024-10-30 00:15:00+10:00,54.0
2024-10-30 00:15:00+10:00,54.0
2024-10-30 00:20:00+10:00,58.0
2024-10-30 00:20:00+10:00,58.0
2024-10-30 00:27:00+10:00,57.0
2024-10-30 00:27:00+10:00,57.0
2024-10-30 00:30:00+10:00,58.0
2024-10-30 00:30:00+10:00,58.0
2024-10-30 00:35:00+10:00,56.0
2024-10-30 00:35:00+10:00,56.0
2024-10-30 00:41:00+10:00,57.0
